company,bean_origin,bean_origin,review_date,cocoa_percent,company_location,rating,bean_origin,bean_origin
Artisan du Chocolat,Venezuela,Venezuela,2010,100%,U.K.,1.75,Venezuela,Venezuela
Artisan du Chocolat,Jamaica,Jamaica,2010,72%,U.K.,3.75,Jamaica,Jamaica
Artisan du Chocolat,Costa Rica,Costa Rica,2010,72%,U.K.,3.25,Costa Rica,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,Vietnam,2010,72%,U.K.,3.25,Ba Ria Vung Tau Province,Vietnam
Artisan du Chocolat,Bali,Indonesia,2010,72%,U.K.,3.5,Bali,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",Venezuela,2009,75%,U.K.,2.5,"Ocumare, Venezuela",Venezuela
Artisan du Chocolat,Java,Indonesia,2009,72%,U.K.,2.75,Java,Indonesia
Artisan du Chocolat,Brazil Rio Doce,Brazil,2009,72%,U.K.,1.75,Brazil Rio Doce,Brazil
Artisan du Chocolat,Madagascar,Madagascar,2009,80%,U.K.,3.0,Madagascar,Madagascar
Artisan du Chocolat,Peru,Peru,2009,75%,U.K.,3.0,Peru,Peru
Artisan du Chocolat,Dominican Republic,Dominican Republic,2009,72%,U.K.,3.25,Dominican Republic,Dominican Republic
Artisan du Chocolat,Congo,Congo,2008,72%,U.K.,3.75,Congo,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",Colombia,2013,72%,U.K.,2.75,"Orinoqua Region, Arauca",Colombia
Askinosie,Mababa,Tanzania,2016,68%,U.S.A.,3.75,Mababa,Tanzania
Askinosie,"Tenende, Uwate",Tanzania,2011,72%,U.S.A.,3.75,"Tenende, Uwate",Tanzania
Askinosie,Cortes,Honduras,2011,70%,U.S.A.,3.75,Cortes,Honduras
Askinosie,Davao,Philippines,2009,77%,U.S.A.,3.75,Davao,Philippines
Askinosie,Xoconusco,Mexico,2007,75%,U.S.A.,2.5,Xoconusco,Mexico
Askinosie,San Jose del Tambo,Ecuador,2007,70%,U.S.A.,3.0,San Jose del Tambo,Ecuador
Bahen & Co.,Papua New Guinea,Papua New Guinea,2015,70%,Australia,3.5,Papua New Guinea,Papua New Guinea
Bahen & Co.,Sambirano,Madagascar,2012,70%,Australia,3.0,Sambirano,Madagascar
Bahen & Co.,Bahia,Brazil,2012,70%,Australia,2.5,Bahia,Brazil
Bakau,"Bambamarca, 2015",Peru,2015,70%,Peru,2.75,"Bambamarca, 2015",Peru
Bakau,"Huallabamba, 2015",Peru,2015,70%,Peru,3.5,"Huallabamba, 2015",Peru
Bar Au Chocolat,Bahia,Brazil,2015,70%,U.S.A.,3.5,Bahia,Brazil
Bar Au Chocolat,Maranon Canyon,Peru,2014,70%,U.S.A.,4.0,Maranon Canyon,Peru
Bar Au Chocolat,Duarte Province,Dominican Republic,2012,70%,U.S.A.,3.25,Duarte Province,Dominican Republic
Bar Au Chocolat,Chiapas,Mexico,2012,70%,U.S.A.,3.5,Chiapas,Mexico
Bar Au Chocolat,Sambirano,Madagascar,2012,70%,U.S.A.,3.75,Sambirano,Madagascar
Baravelli's,single estate,Costa Rica,2012,80%,Wales,2.75,single estate,Costa Rica
Batch,"Dominican Republic, Batch 3",Domincan Republic,2016,65%,U.S.A.,3.5,"Dominican Republic, Batch 3",Domincan Republic
Batch,Brazil,Brazil,2016,70%,U.S.A.,3.75,Brazil,Brazil
Batch,Ecuador,Ecuador,2016,65%,U.S.A.,3.25,Ecuador,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",Malaysia,2017,73%,U.K.,3.0,"Asajaya E, NW Borneo, b. #132/4500",Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",Malaysia,2017,72%,U.K.,3.25,"Serian E., NW Borneo, b. #134/3800",Malaysia
Beehive,"Brazil, Batch 20316",Brazil,2016,80%,U.S.A.,2.75,"Brazil, Batch 20316",Brazil
Beehive,"Dominican Republic, Batch 31616",Domincan Republic,2016,70%,U.S.A.,2.75,"Dominican Republic, Batch 31616",Domincan Republic
Beehive,"Ecuador, Batch 31516",Ecuador,2016,70%,U.S.A.,2.75,"Ecuador, Batch 31516",Ecuador
Beehive,Ecuador,Ecuador,2016,90%,U.S.A.,2.75,Ecuador,Ecuador
Belcolade,Costa Rica,Costa Rica,2010,64%,Belgium,2.75,Costa Rica,Costa Rica
Belcolade,Papua New Guinea,Papua New Guinea,2010,64%,Belgium,2.75,Papua New Guinea,Papua New Guinea
Belcolade,Peru,Peru,2010,64%,Belgium,2.75,Peru,Peru
Belcolade,Ecuador,Ecuador,2010,71%,Belgium,3.5,Ecuador,Ecuador
Bellflower,"Kakao Kamili, Kilombero Valley",Tanzania,2016,70%,U.S.A.,3.5,"Kakao Kamili, Kilombero Valley",Tanzania
Bellflower,"Alto Beni, Palos Blanco",Bolivia,2016,70%,U.S.A.,3.25,"Alto Beni, Palos Blanco",Bolivia
Bellflower,"Oko Caribe, Duarte P.",Domincan Republic,2016,70%,U.S.A.,3.5,"Oko Caribe, Duarte P.",Domincan Republic
Belyzium,"Belize south, low fermentation",Belize,2016,83%,Germany,2.75,"Belize south, low fermentation",Belize
Belyzium,Belize south,Belize,2016,78%,Germany,3.0,Belize south,Belize
Belyzium,Belize south,Belize,2016,83%,Germany,3.5,Belize south,Belize
Benoit Nihant,Baracoa,Cuba,2013,74%,Belgium,3.5,Baracoa,Cuba
Benoit Nihant,Chuao,Venezuela,2013,74%,Belgium,3.5,Chuao,Venezuela
Benoit Nihant,Cuyagua Village,Venezuela,2013,74%,Belgium,3.5,Cuyagua Village,Venezuela
Benoit Nihant,Rio Peripa H.,Ecuador,2013,73%,Belgium,4.0,Rio Peripa H.,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",Indonesia,2011,72%,Belgium,4.0,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",Madagascar,2011,72%,Belgium,3.75,"Somia Plantation, Sambirano, 70hr C",Madagascar
Beschle (Felchlin),Madagascar,Madagascar,2011,64%,Switzerland,3.0,Madagascar,Madagascar
Beschle (Felchlin),Maracaibo,Venezuela,2011,88%,Switzerland,3.0,Maracaibo,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",Venezuela,2011,72%,Switzerland,3.5,"Indigena Amazonia, Grand Cru, Quizas",Venezuela
Beschle (Felchlin),Ecuador,Ecuador,2011,72%,Switzerland,4.0,Ecuador,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",Venezuela,2010,70%,Switzerland,3.25,"Carenero S., Barlovento, Grand Cru",Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",Venezuela,2010,74%,Switzerland,3.25,"Porcelana, Premier Cru, Quizas No. 1",Venezuela
Beschle (Felchlin),"Java, Grand Cru",Indonesia,2010,64%,Switzerland,3.5,"Java, Grand Cru",Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",Venezuela,2010,72%,Switzerland,3.5,"Ocumare, Premier Cru, Quizas No. 2",Venezuela
Bisou,"Nicaragua, American style",Nicaragua,2015,76%,U.S.A.,2.5,"Nicaragua, American style",Nicaragua
Bisou,"San Andres, American style",Costa Rica,2015,76%,U.S.A.,2.5,"San Andres, American style",Costa Rica
Bisou,"San Andres, silk",Costa Rica,2015,78%,U.S.A.,2.5,"San Andres, silk",Costa Rica
Bisou,Belize,Belize,2015,86%,U.S.A.,3.25,Belize,Belize
Bittersweet Origins,Ghana,Ghana,2012,72%,U.S.A.,3.5,Ghana,Ghana
Bittersweet Origins,"Bali, Singaraja",Indonesia,2010,75%,U.S.A.,3.25,"Bali, Singaraja",Indonesia
Bittersweet Origins,2009 Hapa Nibby,"Dominican Rep., Bali",2010,70%,U.S.A.,3.75,2009 Hapa Nibby,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",Indonesia,2010,65%,U.S.A.,2.75,"Bali, Singaraja",Indonesia
Bittersweet Origins,"Sambirano, 2009",Madagascar,2010,70%,U.S.A.,3.0,"Sambirano, 2009",Madagascar
Bittersweet Origins,"Ocumare, prototype",Venezuela,2010,78%,U.S.A.,3.0,"Ocumare, prototype",Venezuela
Bittersweet Origins,Puerto Plata,Dominican Republic,2009,75%,U.S.A.,3.0,Puerto Plata,Dominican Republic
Bittersweet Origins,Puerto Plata,Dominican Republic,2009,65%,U.S.A.,3.5,Puerto Plata,Dominican Republic
Bittersweet Origins,Sambirano,Madagascar,2009,75%,U.S.A.,3.25,Sambirano,Madagascar
Bittersweet Origins,Sambirano,Madagascar,2009,65%,U.S.A.,3.5,Sambirano,Madagascar
Bittersweet Origins,Sambirano,Madagascar,2008,71%,U.S.A.,3.0,Sambirano,Madagascar
Bittersweet Origins,Bocas del Toro,Panama,2008,75%,U.S.A.,3.5,Bocas del Toro,Panama
Bittersweet Origins,Puerto Plata,Dominican Republic,2008,68%,U.S.A.,3.75,Puerto Plata,Dominican Republic
Bittersweet Origins,Ankasa,Ghana,2008,70%,U.S.A.,3.0,Ankasa,Ghana
Black Mountain,La Red,Dominican Republic,2008,70%,U.S.A.,2.75,La Red,Dominican Republic
Black Mountain,Carenero Superior,Venezuela,2008,70%,U.S.A.,2.75,Carenero Superior,Venezuela
Black Mountain,Matiguas,Nicaragua,2008,70%,U.S.A.,3.0,Matiguas,Nicaragua
Black River (A. Morin),Blue Mountain Region,Jamaica,2014,70%,U.K.,2.75,Blue Mountain Region,Jamaica
Blanxart,"Congo, Grand Cru",Congo,2013,82%,Spain,3.5,"Congo, Grand Cru",Congo
Blue Bandana,"Akesson's E., Sambirano V.",Madagascar,2016,82%,U.S.A.,3.5,"Akesson's E., Sambirano V.",Madagascar
Blue Bandana,Lachua,Guatemala,2016,75%,U.S.A.,2.75,Lachua,Guatemala
Blue Bandana,Kokoa Kamili,Tanzania,2016,75%,U.S.A.,3.5,Kokoa Kamili,Tanzania
Blue Bandana,Zorzal Reserva,Dominican Republic,2016,75%,U.S.A.,3.0,Zorzal Reserva,Dominican Republic
Blue Bandana,Guatemala,Guatemala,2012,70%,U.S.A.,3.5,Guatemala,Guatemala
Blue Bandana,Madagascar,Madagascar,2012,70%,U.S.A.,3.75,Madagascar,Madagascar
Bonnat,Selva Maya,Mexico,2016,75%,France,3.5,Selva Maya,Mexico
Bonnat,Kaori,Brazil,2014,75%,France,4.0,Kaori,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",Dominican Republic,2014,75%,France,3.25,"Los Colorados, Santo Domingo, Equateur",Dominican Republic
Bonnat,Surfin,"Venez,Africa,Brasil,Peru,Mex",2014,65%,France,3.75,Surfin,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,Brazil,2013,75%,France,3.5,Maragnam,Brazil
Bonnat,Gabon,Gabon,2013,75%,France,3.25,Gabon,Gabon
Bonnat,Cuba,Cuba,2011,75%,France,3.5,Cuba,Cuba
Bonnat,"Cusco, Cacao Cusco",Peru,2011,75%,France,3.5,"Cusco, Cacao Cusco",Peru
Bonnat,Piura Blanco,Peru,2011,75%,France,3.5,Piura Blanco,Peru
Bonnat,Libanio,Brazil,2011,75%,France,3.75,Libanio,Brazil
Bonnat,Haiti,Haiti,2011,75%,France,4.0,Haiti,Haiti
Bonnat,"Madagascar, 100% criollo",Madagascar,2011,75%,France,4.0,"Madagascar, 100% criollo",Madagascar
Bonnat,Juliana,Brazil,2011,75%,France,3.5,Juliana,Brazil
Bonnat,Jamaique,Jamaica,2011,75%,France,3.25,Jamaique,Jamaica
Bonnat,Ivory Coast,Ivory Coast,2009,75%,France,3.0,Ivory Coast,Ivory Coast
Bonnat,"Porcelana, Apotequil",Peru,2009,75%,France,2.75,"Porcelana, Apotequil",Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",Mexico,2009,75%,France,3.0,"Porcelana, Tabasco, Marfil de Blanco",Mexico
Bonnat,"Xoconusco, cacao Real",Mexico,2009,75%,France,3.0,"Xoconusco, cacao Real",Mexico
Bonnat,"Porcelana, Venezuela",Venezuela,2008,75%,France,4.0,"Porcelana, Venezuela",Venezuela
Bonnat,Equateur,Ecuador,2007,75%,France,2.5,Equateur,Ecuador
Bonnat,Trinite,Carribean,2006,75%,France,3.75,Trinite,Carribean
Bonnat,"Ocumare, Puerto Cabello",Venezuela,2006,75%,France,4.0,"Ocumare, Puerto Cabello",Venezuela
Bonnat,"Maracaibo, El Rosario",Venezuela,2006,75%,France,4.0,"Maracaibo, El Rosario",Venezuela
Bonnat,Madagascar,Madagascar,2006,75%,France,4.0,Madagascar,Madagascar
Bonnat,Ceylan,Sri Lanka,2006,75%,France,3.0,Ceylan,Sri Lanka
Bonnat,Chuao,Venezuela,2006,75%,France,4.0,Chuao,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",Ecuador,2009,77%,Ecuador,3.25,"El Oro, Hacienda de Oro",Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",Ecuador,2009,100%,Ecuador,1.5,"El Oro, Hacienda de Oro",Ecuador
Bowler Man,Maya Mountain,Belize,2014,70%,U.S.A.,2.75,Maya Mountain,Belize
Bowler Man,Conacado,Dominican Republic,2014,70%,U.S.A.,2.75,Conacado,Dominican Republic
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",Venezuela,2016,70%,U.S.A.,3.5,"Guasare, Zulia Prov.",Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",Nicaragua,2016,70%,U.S.A.,3.75,"O'payo, Waslala",Nicaragua
Brasstown aka It's Chocolate,Conacado,Dominican Republic,2015,68%,U.S.A.,3.75,Conacado,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,Belize,2014,70%,U.S.A.,3.75,Maya Mountain,Belize
Brasstown aka It's Chocolate,Chuao,Venezuela,2014,70%,U.S.A.,4.0,Chuao,Venezuela
Brasstown aka It's Chocolate,Cooproagro,Dominican Republic,2013,72%,U.S.A.,3.0,Cooproagro,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",Ecuador,2013,70%,U.S.A.,3.25,"Camino Verde, Guayas",Ecuador
Brasstown aka It's Chocolate,Ghana,Ghana,2013,75%,U.S.A.,3.5,Ghana,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",Venezuela,2013,85%,U.S.A.,3.5,"Chuao, Mantuano blend",Venezuela
Brazen,Elvesia P.,Dominican Republic,2015,60%,U.S.A.,3.0,Elvesia P.,Dominican Republic
Brazen,Elvesia P.,Dominican Republic,2015,80%,U.S.A.,3.25,Elvesia P.,Dominican Republic
Brazen,"Alta Verapaz, 2014",Guatemala,2015,70%,U.S.A.,3.5,"Alta Verapaz, 2014",Guatemala
Brazen,Ambolikapiky P.,Madagascar,2015,80%,U.S.A.,2.75,Ambolikapiky P.,Madagascar
Brazen,Maya Mountain,Belize,2015,80%,U.S.A.,3.25,Maya Mountain,Belize
Brazen,Ambolikapkly P.,Madagascar,2015,60%,U.S.A.,3.25,Ambolikapkly P.,Madagascar
Breeze Mill,Jamaica,Jamaica,2013,70%,U.S.A.,3.0,Jamaica,Jamaica
Bright,Somia Plantation,Madagascar,2014,72%,Australia,3.0,Somia Plantation,Madagascar
Bright,Marabel Farms,Dominican Republic,2014,70%,Australia,3.5,Marabel Farms,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",Ecuador,2014,72%,Australia,3.5,"Camino Verde, Balao, Guayas",Ecuador
Bright,Gran Couva,Trinidad,2014,68%,Australia,2.75,Gran Couva,Trinidad
Britarev,Ecuador,Ecuador,2015,70%,Russia,3.25,Ecuador,Ecuador
Bronx Grrl Chocolate,Dominican Republic,Dominican Republic,2013,68%,U.S.A.,2.75,Dominican Republic,Dominican Republic
