id,company,specific_bean_origin,review_date,cocoa_percent,company_location,rating,bean_type,bean_origin_country
53,Altus aka Cao Artisan,Peru,2013,60%,U.S.A.,3.25,,Peru
54,Amano,Morobe,2011,70%,U.S.A.,4.0,,Papua New Guinea
55,Amano,Dos Rios,2010,70%,U.S.A.,3.75,,Dominican Republic
56,Amano,Guayas,2010,70%,U.S.A.,4.0,,Ecuador
57,Amano,Chuao,2010,70%,U.S.A.,3.0,Trinitario,Venezuela
58,Amano,Montanya,2009,70%,U.S.A.,3.0,,Venezuela
59,Amano,"Bali, Jembrana",2008,70%,U.S.A.,2.75,,Indonesia
60,Amano,Madagascar,2007,70%,U.S.A.,3.5,Trinitario,Madagascar
61,Amano,Cuyagua,2007,70%,U.S.A.,3.0,,Venezuela
62,Amano,Ocumare,2007,70%,U.S.A.,3.75,Criollo,Venezuela
63,Amatller (Simon Coll),Ghana,2009,70%,Spain,3.0,Forastero,Ghana
64,Amatller (Simon Coll),Ecuador,2009,70%,Spain,2.75,,Ecuador
65,Amatller (Simon Coll),Ecuador,2009,85%,Spain,2.75,,Ecuador
66,Amatller (Simon Coll),Ghana,2009,85%,Spain,3.0,Forastero,Ghana
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72%,Peru,3.25,,Peru
68,Amazona,"Bellavista Gran Pajeten, San Martin",2013,73%,Peru,3.5,Trinitario,Peru
69,Ambrosia,Belize,2015,64%,Canada,3.0,Trinitario,Belize
70,Ambrosia,Madagascar,2015,66%,Canada,3.25,Trinitario,Madagascar
71,Ambrosia,Dominican Republic,2015,75%,Canada,3.25,,Dominican Republic
72,Ambrosia,Papua New Guinea,2015,63%,Canada,3.25,,Papua New Guinea
73,Ambrosia,Venezuela,2015,70%,Canada,3.25,,Venezuela
74,Ambrosia,Peru,2015,68%,Canada,3.5,,Peru
75,Amedei,"Piura, Blanco de Criollo",2012,70%,Italy,3.75,,Peru
76,Amedei,Porcelana,2007,70%,Italy,4.0,Criollo (Porcelana),Venezuela
77,Amedei,Nine,2007,75%,Italy,4.0,Blend,
78,Amedei,Chuao,2007,70%,Italy,5.0,Trinitario,Venezuela
79,Amedei,Ecuador,2007,70%,Italy,3.0,Trinitario,Ecuador
80,Amedei,Jamaica,2007,70%,Italy,3.0,Trinitario,Jamaica
81,Amedei,Grenada,2007,70%,Italy,3.5,Trinitario,Grenada
82,Amedei,Venezuela,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
83,Amedei,Madagascar,2007,70%,Italy,4.0,Trinitario (85% Criollo),Madagascar
84,Amedei,Trinidad,2007,70%,Italy,3.5,Trinitario,Trinidad
85,Amedei,Toscano Black,2007,63%,Italy,3.5,Blend,
86,Amedei,Toscano Black,2006,70%,Italy,5.0,Blend,
87,Amedei,Toscano Black,2006,66%,Italy,4.0,Blend,
88,AMMA,Catongo,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil
89,AMMA,"Monte Alegre, 3 diff. plantations",2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil
90,AMMA,"Monte Alegre, 3 diff. plantations",2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
91,AMMA,"Monte Alegre, 3 diff. plantations",2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
92,AMMA,"Monte Alegre, 3 diff. plantations",2010,60%,Brazil,4.0,Forastero (Parazinho),Brazil
93,Anahata,Elvesia,2014,75%,U.S.A.,3.0,,Dominican Republic
94,Animas,Alto Beni,2016,75%,U.S.A.,3.5,,Bolivia
95,Ara,Madagascar,2014,75%,France,3.0,Trinitario,Madagascar
96,Ara,Chiapas,2014,72%,France,2.5,,Mexico
97,Ara,Equateur,2014,75%,France,2.75,,Ecuador
98,Ara,Trincheras,2014,75%,France,3.0,,Venezuela
99,Arete,San Juan,2016,70%,U.S.A.,3.5,Trinitario,Trinidad
100,Arete,Kokoa Kamili,2016,70%,U.S.A.,3.75,,Tanzania
101,Arete,Tien Giang,2016,73%,U.S.A.,3.5,Trinitario,Vietnam
102,Arete,Hacienda Victoria,2016,70%,U.S.A.,3.25,,Ecuador
103,Arete,Costa Esmeraldas,2016,70%,U.S.A.,3.25,,Ecuador
104,Arete,Lachua,2016,70%,U.S.A.,3.5,,Guatemala
105,Arete,Rugoso,2016,70%,U.S.A.,3.75,,Nicaragua
106,Arete,"La Masica, FHIA",2016,70%,U.S.A.,3.5,,Honduras
107,Arete,"Coto Brus, Terciopelo",2016,70%,U.S.A.,4.0,,Costa Rica
108,Arete,Phantom,2016,70%,U.S.A.,4.0,Forastero (Nacional),Peru
109,Arete,Elvesia,2016,70%,U.S.A.,3.75,,Dominican Republic
110,Arete,Matasawalevu,2016,70%,U.S.A.,3.25,,Fiji
111,Arete,Lam Dong,2016,73%,U.S.A.,3.25,,Vietnam
112,Arete,Fazenda Camboa,2015,70%,U.S.A.,3.5,,Brazil
113,Arete,Nacional,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru
114,Arete,"Puerto Quito, heirloom",2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador
115,Arete,Oko Caribe,2015,70%,U.S.A.,3.5,,Domincan Republic
116,Arete,Maya Mountain,2015,70%,U.S.A.,3.75,Trinitario,Belize
117,Arete,Chuno,2015,70%,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
118,Arete,Fazenda Camboa,2015,75%,U.S.A.,2.75,,Brazil
119,Arete,Guatemala,2015,70%,U.S.A.,3.25,,Guatemala
120,Arete,Camino Verde,2015,75%,U.S.A.,3.5,,Ecuador
121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72%,U.K.,3.25,Trinitario,Trinidad
122,Artisan du Chocolat,"Colombia, Casa Luker",2012,72%,U.K.,3.75,,Colombia
123,Artisan du Chocolat,Haiti,2011,72%,U.K.,4.0,,Haiti
124,Artisan du Chocolat,Panama,2011,72%,U.K.,2.75,,Panama
125,Artisan du Chocolat,Venezuela,2010,100%,U.K.,1.75,,Venezuela
126,Artisan du Chocolat,Jamaica,2010,72%,U.K.,3.75,Trinitario,Jamaica
127,Artisan du Chocolat,Costa Rica,2010,72%,U.K.,3.25,,Costa Rica
128,Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72%,U.K.,3.25,Trinitario,Vietnam
129,Artisan du Chocolat,Bali,2010,72%,U.K.,3.5,,Indonesia
130,Artisan du Chocolat,"Ocumare, Venezuela",2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela
131,Artisan du Chocolat,Java,2009,72%,U.K.,2.75,Trinitario,Indonesia
132,Artisan du Chocolat,Brazil Rio Doce,2009,72%,U.K.,1.75,,Brazil
133,Artisan du Chocolat,Madagascar,2009,80%,U.K.,3.0,"Criollo, Trinitario",Madagascar
134,Artisan du Chocolat,Peru,2009,75%,U.K.,3.0,Criollo,Peru
135,Artisan du Chocolat,Dominican Republic,2009,72%,U.K.,3.25,Trinitario,Dominican Republic
136,Artisan du Chocolat,Congo,2008,72%,U.K.,3.75,Forastero,Congo
137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72%,U.K.,2.75,Trinitario,Colombia
138,Askinosie,Mababa,2016,68%,U.S.A.,3.75,Trinitario,Tanzania
139,Askinosie,"Tenende, Uwate",2011,72%,U.S.A.,3.75,Trinitario,Tanzania
140,Askinosie,Cortes,2011,70%,U.S.A.,3.75,Trinitario,Honduras
141,Askinosie,Davao,2009,77%,U.S.A.,3.75,Trinitario,Philippines
142,Askinosie,Xoconusco,2007,75%,U.S.A.,2.5,Trinitario,Mexico
143,Askinosie,San Jose del Tambo,2007,70%,U.S.A.,3.0,Forastero (Arriba),Ecuador
144,Bahen & Co.,Houseblend,2015,80%,Australia,3.25,,
145,Bahen & Co.,Papua New Guinea,2015,70%,Australia,3.5,,Papua New Guinea
146,Bahen & Co.,Sambirano,2012,70%,Australia,3.0,Trinitario,Madagascar
147,Bahen & Co.,Bahia,2012,70%,Australia,2.5,,Brazil
148,Bahen & Co.,Houseblend,2012,70%,Australia,2.5,Blend,
149,Bakau,"Bambamarca, 2015",2015,70%,Peru,2.75,,Peru
150,Bakau,"Huallabamba, 2015",2015,70%,Peru,3.5,,Peru
151,Bar Au Chocolat,Bahia,2015,70%,U.S.A.,3.5,,Brazil
152,Bar Au Chocolat,Maranon Canyon,2014,70%,U.S.A.,4.0,Forastero (Nacional),Peru
153,Bar Au Chocolat,Duarte Province,2012,70%,U.S.A.,3.25,,Dominican Republic
154,Bar Au Chocolat,Chiapas,2012,70%,U.S.A.,3.5,,Mexico
155,Bar Au Chocolat,Sambirano,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
156,Baravelli's,single estate,2012,80%,Wales,2.75,,Costa Rica
157,Batch,"Dominican Republic, Batch 3",2016,65%,U.S.A.,3.5,,Domincan Republic
158,Batch,Brazil,2016,70%,U.S.A.,3.75,,Brazil
159,Batch,Ecuador,2016,65%,U.S.A.,3.25,,Ecuador
160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73%,U.K.,3.0,,Malaysia
161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72%,U.K.,3.25,,Malaysia
162,Beehive,"Brazil, Batch 20316",2016,80%,U.S.A.,2.75,,Brazil
163,Beehive,"Dominican Republic, Batch 31616",2016,70%,U.S.A.,2.75,,Domincan Republic
164,Beehive,"Ecuador, Batch 31516",2016,70%,U.S.A.,2.75,,Ecuador
165,Beehive,Ecuador,2016,90%,U.S.A.,2.75,,Ecuador
166,Belcolade,Costa Rica,2010,64%,Belgium,2.75,,Costa Rica
167,Belcolade,Papua New Guinea,2010,64%,Belgium,2.75,,Papua New Guinea
168,Belcolade,Peru,2010,64%,Belgium,2.75,,Peru
169,Belcolade,Ecuador,2010,71%,Belgium,3.5,,Ecuador
170,Bellflower,"Kakao Kamili, Kilombero Valley",2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
171,Bellflower,"Alto Beni, Palos Blanco",2016,70%,U.S.A.,3.25,,Bolivia
172,Bellflower,"Oko Caribe, Duarte P.",2016,70%,U.S.A.,3.5,,Domincan Republic
173,Belyzium,"Belize south, low fermentation",2016,83%,Germany,2.75,Trinitario,Belize
174,Belyzium,Belize south,2016,78%,Germany,3.0,Trinitario,Belize
175,Belyzium,Belize south,2016,83%,Germany,3.5,Trinitario,Belize
176,Benoit Nihant,Baracoa,2013,74%,Belgium,3.5,Trinitario,Cuba
177,Benoit Nihant,Chuao,2013,74%,Belgium,3.5,Criollo,Venezuela
178,Benoit Nihant,Cuyagua Village,2013,74%,Belgium,3.5,Criollo,Venezuela
179,Benoit Nihant,Rio Peripa H.,2013,73%,Belgium,4.0,Trinitario,Ecuador
180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72%,Belgium,4.0,Trinitario,Indonesia
181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72%,Belgium,3.75,Trinitario,Madagascar
182,Bernachon,Nature,2012,55%,France,2.75,,
183,Beschle (Felchlin),Madagascar,2011,64%,Switzerland,3.0,Trinitario,Madagascar
184,Beschle (Felchlin),Maracaibo,2011,88%,Switzerland,3.0,Criollo,Venezuela
185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72%,Switzerland,3.5,,Venezuela
186,Beschle (Felchlin),Ecuador,2011,72%,Switzerland,4.0,,Ecuador
187,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",2010,70%,Switzerland,3.25,Trinitario,Venezuela
188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela
189,Beschle (Felchlin),"Java, Grand Cru",2010,64%,Switzerland,3.5,,Indonesia
190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72%,Switzerland,3.5,,Venezuela
191,Bisou,"Nicaragua, American style",2015,76%,U.S.A.,2.5,,Nicaragua
192,Bisou,"San Andres, American style",2015,76%,U.S.A.,2.5,,Costa Rica
193,Bisou,"San Andres, silk",2015,78%,U.S.A.,2.5,,Costa Rica
194,Bisou,Belize,2015,86%,U.S.A.,3.25,Trinitario,Belize
195,Bittersweet Origins,Ghana,2012,72%,U.S.A.,3.5,Forastero,Ghana
196,Bittersweet Origins,"Bali, Singaraja",2010,75%,U.S.A.,3.25,,Indonesia
197,Bittersweet Origins,2009 Hapa Nibby,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
198,Bittersweet Origins,"Bali, Singaraja",2010,65%,U.S.A.,2.75,,Indonesia
199,Bittersweet Origins,"Sambirano, 2009",2010,70%,U.S.A.,3.0,Trinitario,Madagascar
200,Bittersweet Origins,"Ocumare, prototype",2010,78%,U.S.A.,3.0,Criollo,Venezuela
201,Bittersweet Origins,Puerto Plata,2009,75%,U.S.A.,3.0,,Dominican Republic
202,Bittersweet Origins,Puerto Plata,2009,65%,U.S.A.,3.5,,Dominican Republic
203,Bittersweet Origins,Sambirano,2009,75%,U.S.A.,3.25,Trinitario,Madagascar
204,Bittersweet Origins,Sambirano,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
205,Bittersweet Origins,Sambirano,2008,71%,U.S.A.,3.0,Trinitario,Madagascar
206,Bittersweet Origins,Bocas del Toro,2008,75%,U.S.A.,3.5,,Panama
207,Bittersweet Origins,Puerto Plata,2008,68%,U.S.A.,3.75,,Dominican Republic
208,Bittersweet Origins,Ankasa,2008,70%,U.S.A.,3.0,Forastero,Ghana
209,Black Mountain,La Red,2008,70%,U.S.A.,2.75,,Dominican Republic
210,Black Mountain,Carenero Superior,2008,70%,U.S.A.,2.75,Trinitario,Venezuela
211,Black Mountain,Matiguas,2008,70%,U.S.A.,3.0,,Nicaragua
212,Black River (A. Morin),Blue Mountain Region,2014,70%,U.K.,2.75,Trinitario,Jamaica
213,Blanxart,"Congo, Grand Cru",2013,82%,Spain,3.5,Forastero,Congo
214,Blanxart,Organic Dark,2009,72%,Spain,2.75,,
215,Blue Bandana,"Akesson's E., Sambirano V.",2016,82%,U.S.A.,3.5,Trinitario,Madagascar
216,Blue Bandana,Lachua,2016,75%,U.S.A.,2.75,,Guatemala
217,Blue Bandana,Kokoa Kamili,2016,75%,U.S.A.,3.5,,Tanzania
218,Blue Bandana,Zorzal Reserva,2016,75%,U.S.A.,3.0,,Dominican Republic
219,Blue Bandana,Guatemala,2012,70%,U.S.A.,3.5,,Guatemala
220,Blue Bandana,Madagascar,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
221,Bonnat,Selva Maya,2016,75%,France,3.5,,Mexico
222,Bonnat,Kaori,2014,75%,France,4.0,,Brazil
223,Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75%,France,3.25,,Dominican Republic
224,Bonnat,Surfin,2014,65%,France,3.75,,"Venez,Africa,Brasil,Peru,Mex"
225,Bonnat,Maragnam,2013,75%,France,3.5,,Brazil
226,Bonnat,Gabon,2013,75%,France,3.25,,Gabon
227,Bonnat,Cuba,2011,75%,France,3.5,Trinitario,Cuba
228,Bonnat,"Cusco, Cacao Cusco",2011,75%,France,3.5,,Peru
229,Bonnat,Piura Blanco,2011,75%,France,3.5,Forastero (Nacional),Peru
230,Bonnat,Libanio,2011,75%,France,3.75,,Brazil
231,Bonnat,Haiti,2011,75%,France,4.0,,Haiti
232,Bonnat,"Madagascar, 100% criollo",2011,75%,France,4.0,Criollo,Madagascar
233,Bonnat,Juliana,2011,75%,France,3.5,,Brazil
234,Bonnat,Jamaique,2011,75%,France,3.25,Trinitario,Jamaica
235,Bonnat,Ivory Coast,2009,75%,France,3.0,,Ivory Coast
236,Bonnat,"Porcelana, Apotequil",2009,75%,France,2.75,Criollo,Peru
237,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75%,France,3.0,Criollo,Mexico
238,Bonnat,"Xoconusco, cacao Real",2009,75%,France,3.0,Criollo,Mexico
239,Bonnat,"Porcelana, Venezuela",2008,75%,France,4.0,Criollo (Porcelana),Venezuela
240,Bonnat,Equateur,2007,75%,France,2.5,Forastero (Arriba),Ecuador
241,Bonnat,Trinite,2006,75%,France,3.75,Trinitario,Carribean
242,Bonnat,"Ocumare, Puerto Cabello",2006,75%,France,4.0,,Venezuela
243,Bonnat,"Maracaibo, El Rosario",2006,75%,France,4.0,Criollo,Venezuela
244,Bonnat,Madagascar,2006,75%,France,4.0,Trinitario,Madagascar
245,Bonnat,One Hundred,2006,100%,France,1.5,,
246,Bonnat,Ceylan,2006,75%,France,3.0,,Sri Lanka
247,Bonnat,Chuao,2006,75%,France,4.0,Trinitario,Venezuela
248,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador
249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador
250,Bowler Man,Maya Mountain,2014,70%,U.S.A.,2.75,Trinitario,Belize
251,Bowler Man,Conacado,2014,70%,U.S.A.,2.75,,Dominican Republic
252,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",2016,70%,U.S.A.,3.5,Criollo,Venezuela
253,Brasstown aka It's Chocolate,"O'payo, Waslala",2016,70%,U.S.A.,3.75,,Nicaragua
254,Brasstown aka It's Chocolate,Conacado,2015,68%,U.S.A.,3.75,,Dominican Republic
255,Brasstown aka It's Chocolate,Maya Mountain,2014,70%,U.S.A.,3.75,Trinitario,Belize
256,Brasstown aka It's Chocolate,Chuao,2014,70%,U.S.A.,4.0,Trinitario,Venezuela
257,Brasstown aka It's Chocolate,Cooproagro,2013,72%,U.S.A.,3.0,Trinitario,Dominican Republic
258,Brasstown aka It's Chocolate,"Camino Verde, Guayas",2013,70%,U.S.A.,3.25,,Ecuador
259,Brasstown aka It's Chocolate,Ghana,2013,75%,U.S.A.,3.5,Forastero,Ghana
260,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85%,U.S.A.,3.5,Trinitario,Venezuela
261,Brazen,Elvesia P.,2015,60%,U.S.A.,3.0,,Dominican Republic
262,Brazen,Elvesia P.,2015,80%,U.S.A.,3.25,,Dominican Republic
263,Brazen,"Alta Verapaz, 2014",2015,70%,U.S.A.,3.5,,Guatemala
264,Brazen,Ambolikapiky P.,2015,80%,U.S.A.,2.75,,Madagascar
265,Brazen,Maya Mountain,2015,80%,U.S.A.,3.25,Trinitario,Belize
266,Brazen,Ambolikapkly P.,2015,60%,U.S.A.,3.25,,Madagascar
267,Breeze Mill,Jamaica,2013,70%,U.S.A.,3.0,Trinitario,Jamaica
268,Bright,Somia Plantation,2014,72%,Australia,3.0,Trinitario,Madagascar
269,Bright,Marabel Farms,2014,70%,Australia,3.5,,Dominican Republic
270,Bright,"Camino Verde, Balao, Guayas",2014,72%,Australia,3.5,,Ecuador
271,Bright,Gran Couva,2014,68%,Australia,2.75,Trinitario,Trinidad
272,Britarev,Ecuador,2015,70%,Russia,3.25,,Ecuador
273,Bronx Grrl Chocolate,Dominican Republic,2013,68%,U.S.A.,2.75,,Dominican Republic
274,Burnt Fork Bend,Trinidad,2014,72%,U.S.A.,3.25,Trinitario,Trinidad
275,Burnt Fork Bend,Mindo,2014,72%,U.S.A.,3.5,,Ecuador
276,Burnt Fork Bend,Belize,2014,72%,U.S.A.,3.25,Trinitario,Belize
277,Burnt Fork Bend,Blend,2014,72%,U.S.A.,3.25,Blend,
278,Burnt Fork Bend,"Ecuador, Bob Bar",2014,60%,U.S.A.,2.5,,Ecuador
279,Cacao Arabuco,Puerto Rico,2015,70%,Puerto Rico,2.5,,Puerto Rico
280,Cacao Atlanta,Tumbes,2014,75%,U.S.A.,2.5,Criollo,Peru
281,Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010,75%,U.S.A.,2.5,,Dominican Republic
282,Cacao Atlanta,Dominican Republic w/ nibs,2010,75%,U.S.A.,2.75,,Dominican Republic
283,Cacao Atlanta,Patanemo,2010,75%,U.S.A.,2.25,,Venezuela
284,Cacao Barry,Grand 'Anse,2016,65%,France,3.5,"Trinitario, Criollo",Haiti
285,Cacao Barry,Santo Domingo,2010,70%,France,3.0,,Dominican Republic
286,Cacao Barry,Tanzania,2008,75%,France,2.0,,Tanzania
287,Cacao Barry,Venezuela,2007,72%,France,2.0,,Venezuela
288,Cacao Barry,Mexico,2007,66%,France,3.0,,Mexico
289,Cacao de Origen,Chuao,2015,77%,Venezuela,3.5,Trinitario,Venezuela
290,Cacao de Origen,Rio Caribe,2015,75%,Venezuela,3.25,Trinitario,Venezuela
291,Cacao de Origen,Agua Fria; Sucre region,2014,75%,Venezuela,2.5,,Venezuela
292,Cacao de Origen,Macuare; Miranda; Chloe formula,2014,74%,Venezuela,3.25,,Venezuela
293,Cacao de Origen,"Chuao, Aragua region",2014,75%,Venezuela,3.5,Trinitario,Venezuela
294,Cacao de Origen,"Chuao, Aragua region",2014,70%,Venezuela,3.75,Trinitario,Venezuela
295,Cacao de Origin,Hacienda la Trinidad,2015,74%,Venezuela,3.25,,Venezuela
296,Cacao Hunters,Macondo,2016,71%,Colombia,3.75,,Colombia
297,Cacao Hunters,Perla Negra,2016,74%,Colombia,3.75,,Colombia
298,Cacao Hunters,Arhuacos,2015,72%,Colombia,3.75,,Colombia
299,Cacao Hunters,Sierra Nevada,2014,64%,Colombia,3.5,,Colombia
300,Cacao Hunters,Tumaco,2014,70%,Colombia,3.5,,Colombia
301,Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",2014,69%,Colombia,2.75,,Colombia
302,Cacao Hunters,Arauca,2014,70%,Colombia,3.25,,Colombia
303,Cacao Market,"Jutiapa, lot 050916D",2016,70%,U.S.A.,3.5,Trinitario,Honduras
304,Cacao Prieto,"Criollo, Dominican Republic",2012,72%,U.S.A.,3.75,Criollo,Dominican Republic
305,Cacao Prieto,"Dominican Republicm, rustic",2011,72%,U.S.A.,3.0,,Dominican Republic
306,Cacao Prieto,Dominican Republic,2011,66%,U.S.A.,3.75,,Dominican Republic
307,Cacao Prieto,"Dominican Republic, rustic",2011,65%,U.S.A.,3.25,,Dominican Republic
308,Cacao Sampaka,"Mahali, Kasai",2016,70%,Spain,3.5,Criollo,Congo
309,Cacao Sampaka,Madagascar,2010,71%,Spain,3.5,Trinitario,Madagascar
310,Cacao Sampaka,Ecuador,2010,71%,Spain,3.75,,Ecuador
311,Cacao Sampaka,Papua,2010,71%,Spain,4.0,,Papua New Guinea
312,Cacao Sampaka,Grenada,2010,71%,Spain,3.25,Trinitario,Grenada
313,Cacao Sampaka,Venezuela,2010,71%,Spain,3.5,,Venezuela
314,Cacao Sampaka,Venezuela,2010,77%,Spain,3.5,,Venezuela
315,Cacao Sampaka,"Porcelana, Tabasco, La Joya",2009,70%,Spain,4.0,Criollo,Mexico
316,Cacao Sampaka,"Xoconusco, Chiapas",2009,70%,Spain,4.0,Criollo,Mexico
317,Cacao Store,Madagascar,2015,70%,Japan,3.0,Trinitario,Madagascar
318,Cacao Store,Peru,2015,70%,Japan,3.25,,Peru
319,Cacao Store,Vietnam,2015,70%,Japan,3.5,Trinitario,Vietnam
320,Cacaosuyo (Theobroma Inversiones),Piura,2013,70%,Peru,3.25,,Peru
321,Cacaoyere (Ecuatoriana),Amazonia,2008,63%,Ecuador,3.5,Forastero (Arriba),Ecuador
